_id,label,wordnet_sense,type_count,token_count
0,apple,apple.n.01,2,17
1,bag,bag.n.04,5,34
2,ball,ball.n.01,2,11
3,bathtub,bathtub.n.01,0,0
4,bed,bed.n.01,0,0
5,book,book.n.02,2,14
6,bookshelf,bookshelf.n.01,1,21
7,box,box.n.01,1,4
8,chair,chair.n.01,5,48
9,chessboard,chessboard.n.01,0,0
10,coffee_machine,coffee_maker.n.01,0,0
11,computer,computer.n.01,0,0
12,cup,cup.n.01,2,13
13,cutting_board,cutting_board.n.01,0,0
14,desk,desk.n.01,2,20
15,dishwasher,dishwasher.n.01,0,0
16,door,door.n.01,8,79
17,door_handle,doorhandle.n.01,6,28
18,dresser,dresser.n.01,0,0
19,dressing_table,dressing_table.n.01,0,0
20,dryer,dryer.n.01,0,0
21,fireplace,fireplace.n.01,0,0
22,fish_tank,fish_tank.n.01,0,0
23,food_processor,food_processor.n.01,0,0
24,fruit_bowl,bowl.n.01,0,0
25,game_console,console.n.02,0,0
26,headphones,headphone.n.01,1,9
27,heater,heater.n.01,0,0
28,ironing_board,ironing_board.n.01,0,0
29,jacket,jacket.n.01,1,7
30,kettle,kettle.n.01,0,0
31,lamp,lamp.n.02,11,54
32,loudspeaker,loudspeaker.n.01,0,0
33,microwave,microwave.n.02,0,0
34,mirror,mirror.n.01,0,0
35,notice_board,board.n.05,3,11
36,ottoman,ottoman.n.04,1,12
37,painting,decoration.n.01,2,20
38,pan,pan.n.01,0,0
39,piano,piano.n.01,0,0
40,plates,plate.n.04,0,0
41,range_oven,range.n.09,0,0
42,refrigerator,refrigerator.n.01,0,0
43,robot,robot.n.01,3,30
44,rubiks_cube,toy.n.01,4,26
45,rug,rug.n.01,0,0
46,rack,rack.n.01,0,0
47,shoes,shoe.n.01,1,8
48,shower,shower.n.01,0,0
49,sign,sign.n.02,9,39
50,sink,sink.n.01,0,0
51,sofa,sofa.n.01,1,13
52,stereo_set,stereo.n.01,0,0
53,t-shirt,t-shirt.n.01,1,14
54,table,table.n.02,1,16
55,teapot,teapot.n.01,1,9
56,teddy_bear,teddy.n.01,2,13
57,television,television.n.03,0,0
58,toilet,toilet.n.02,0,0
59,towel_rack,towel_rack.n.01,0,0
60,trophy,trophy.n.02,1,10
61,tv_stand,stand.n.04,0,0
62,utensil_holder,holder.n.01,0,0
63,vacuum_cleaner,vacuum_cleaner.n.01,0,0
64,vase,vase.n.01,2,18
65,wardrobe_cabinet,wardrobe.n.01,0,0
66,washer,washer.n.03,0,0
67,water_dispenser,dispenser.n.01,0,0
68,window,window.n.01,5,37
69,wine_bottle,wine_bottle.n.01,3,24
70,wine_glass,wineglass.n.01,1,7
